"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed May 20 08:07:56 CST 2026","Wed May 20 08:07:56 CST 2026","1","tests.test_common","test_config_security","TestDatabaseCredentialSecurity","","","DB_DSN环境变量应生效","DB_DSN 环境变量应正确读取"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","合法SQL加载应成功","合法参数应成功加载SQL"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","非法参数名应被拒绝","非法参数名：包含特殊字符"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_common","test_sql_loader_security","TestSQLLoaderFunctionality","","","SQL文件加载功能正常","基本SQL加载功能"
"passed","Wed May 20 08:07:56 CST 2026","Wed May 20 08:07:56 CST 2026","6","tests.test_common","test_config_security","TestTestConfigSecurity","","","测试配置环境变量覆盖","测试配置应支持环境变量覆盖"
"failed","Wed May 20 08:07:56 CST 2026","Wed May 20 08:07:56 CST 2026","7","tests.test_common","test_config_security","TestDatabaseCredentialSecurity","","","未配置凭据时应发出警告","未设置环境变量时应发出警告"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","1","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","SQL注入攻击应被阻止","常见SQL注入攻击应被阻止"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","24","tests.test_rtd_mts_lg1","test_pointbof1no1","","","","test_statistics","输出统计信息"
"passed","Wed May 20 08:07:56 CST 2026","Wed May 20 08:07:56 CST 2026","0","tests.test_common","test_ci_validation","","","","test_python_version","验证 Python 版本"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","SQL注入攻击应被阻止","常见SQL注入攻击应被阻止"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","合法参数名应通过验证","合法参数名：字母、数字、下划线"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","1","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","危险参数值应抛出异常","包含注入字符的参数值应抛出 ValueError"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_common","test_sql_loader_security","TestSQLInjectionProtection","","","SQL注入字符应被拒绝","危险字符：SQL注入常用字符"
"passed","Wed May 20 08:07:56 CST 2026","Wed May 20 08:07:56 CST 2026","1","tests.test_common","test_ci_validation","","","","test_config_structure","验证项目结构"
"passed","Wed May 20 08:07:57 CST 2026","Wed May 20 08:07:57 CST 2026","0","tests.test_rtd_mts_lg1","test_pointbof1no1","","","","test_table_has_data","表中有数据"
